AL,1990,4,148.08
AL,1991,1,149.27
AL,1991,2,151.6
AL,1991,3,152.35
AL,1991,4,154.84
AL,1992,1,156.16
AL,1992,2,156.41
AL,1992,3,159.36
AL,1992,4,160.57
AL,1993,1,161.77
AL,1993,2,163.51
AL,1993,3,166.38
AL,1993,4,167.81
AL,1994,1,168.87
AL,1994,2,171.03
AL,1994,3,171.61
AL,1994,4,171.86
AL,1995,1,173.46
AL,1995,2,176.86
AL,1995,3,179.61
AL,1995,4,180.99
AL,1996,1,184.28
AL,1996,2,184.21
AL,1996,3,184.66
AL,1996,4,186.8
AL,1997,1,188.66
AL,1997,2,190.15
AL,1997,3,192.99
AL,1997,4,195.55
AL,1998,1,198.79
AL,1998,2,200.5
AL,1998,3,202.55
AL,1998,4,205.03
AL,1999,1,205.67
AL,1999,2,206.44
AL,1999,3,206.95
AL,1999,4,208.44
AL,2000,1,209.3
AL,2000,2,211.02
AL,2000,3,212.71
AL,2000,4,215.38
AL,2001,1,221.68
AL,2001,2,222.68
AL,2001,3,224.23
AL,2001,4,226.77
AL,2002,1,227.17
AL,2002,2,228.36
AL,2002,3,231.76
AL,2002,4,234.4
AL,2003,1,236.76
AL,2003,2,238.89
AL,2003,3,240.56
AL,2003,4,242.01
AL,2004,1,244.38
AL,2004,2,245.92
AL,2004,3,250.35
AL,2004,4,254.24
AL,2005,1,257.55
AL,2005,2,263.66
AL,2005,3,269.13
AL,2005,4,274.55
AL,2006,1,280.05
AL,2006,2,284.76
AL,2006,3,289.41
AL,2006,4,294.93
AL,2007,1,296.84
AL,2007,2,301.05
AL,2007,3,301.58
AL,2007,4,304.03
AL,2008,1,306.03
AL,2008,2,304.77
AL,2008,3,302.54
AL,2008,4,304.17
AL,2009,1,306.34
AL,2009,2,302.88
AL,2009,3,295.67
AL,2009,4,294.71
AL,2010,1,290.54
AL,2010,2,286.34
AL,2010,3,290.09
AL,2010,4,287.8
AL,2011,1,280.18
AL,2011,2,276.15
AL,2011,3,278.7
AL,2011,4,280.79
AL,2012,1,278.02
AL,2012,2,276.35
AL,2012,3,278.12
